"Timestamp","Are you an EUI student?","How old are you?","What is your faculty?","Does it matter to you (academically) if you like/dislike your instructor?","What is your GPA?"
"2023/03/08 7:59:21 PM GMT+2","Yes","20","Computer and information sciences","5 (strongly matters)","3.32"
"2023/03/08 7:59:39 PM GMT+2","Yes","19","Computer and information sciences","3","3.16"
"2023/03/08 8:01:11 PM GMT+2","Yes","19","Engineering","4","3.85"
"2023/03/08 8:02:48 PM GMT+2","No","19","Business Informatics","5 (strongly matters)","3.5"
"2023/03/08 8:03:40 PM GMT+2","Yes","19","Computer and information sciences","4","2.5"
"2023/03/08 8:05:04 PM GMT+2","Yes","19","Computer and information sciences","3","4.0"
"2023/03/08 8:05:24 PM GMT+2","Yes","20","Business Informatics","1","3.0"
"2023/03/08 8:07:45 PM GMT+2","Yes","20","Business Informatics","5 (strongly matters)","1.9"
"2023/03/08 8:08:30 PM GMT+2","Yes","18","Engineering","1","3.2"
"2023/03/08 8:08:50 PM GMT+2","Yes","19","Computer and information sciences","4","3.2"
"2023/03/08 8:12:09 PM GMT+2","No","20","Business Informatics","5 (strongly matters)","3.2"
"2023/03/08 8:12:25 PM GMT+2","Yes","20","Computer and information sciences","5 (strongly matters)","1.6"
"2023/03/08 8:13:28 PM GMT+2","Yes","24","Business Informatics","4","2.0"
"2023/03/08 8:14:02 PM GMT+2","Yes","19","Computer and information sciences","4","2.3"
"2023/03/08 8:15:28 PM GMT+2","Yes","20","Business Informatics","0 (doesn't matter at all)","2.5"
"2023/03/08 8:16:38 PM GMT+2","Yes","20","Business Informatics","3","1"
"2023/03/08 8:17:04 PM GMT+2","Yes","19","Engineering","3","3.8"
"2023/03/08 8:19:41 PM GMT+2","Yes","18","Digital arts and design","4","2.56"
"2023/03/08 8:21:04 PM GMT+2","Yes","19","Engineering","4","3.39"
"2023/03/08 8:21:24 PM GMT+2","Yes","19","Digital arts and design","5 (strongly matters)","3.0"
"2023/03/08 8:28:17 PM GMT+2","Yes","20","Computer and information sciences","4","3.1"
"2023/03/08 8:28:33 PM GMT+2","Yes","19","Computer and information sciences","3","3.4"
"2023/03/08 8:29:08 PM GMT+2","Yes","20","Computer and information sciences","3","3.2"
"2023/03/08 8:29:35 PM GMT+2","Yes","20","Computer and information sciences","5 (strongly matters)","3.5"
"2023/03/08 8:29:36 PM GMT+2","Yes","19","Computer and information sciences","3","2.9"
"2023/03/08 8:29:51 PM GMT+2","Yes","19","Computer and information sciences","3","3.3"
"2023/03/08 8:29:57 PM GMT+2","Yes","19","Business Informatics","3","3"
"2023/03/08 8:32:54 PM GMT+2","Yes","20","Computer and information sciences","3","3.5"
"2023/03/08 8:33:08 PM GMT+2","Yes","20","Business Informatics","5 (strongly matters)","3.2"
"2023/03/08 8:34:16 PM GMT+2","Yes","21","Engineering","3","3.3"
"2023/03/08 8:34:35 PM GMT+2","Yes","19","Computer and information sciences","4","3.3"
"2023/03/08 8:35:15 PM GMT+2","Yes","18","Computer and information sciences","3","3.7"
"2023/03/08 8:35:40 PM GMT+2","Yes","19","Computer and information sciences","4","3.3"
"2023/03/08 8:38:27 PM GMT+2","Yes","19","Computer and information sciences","4","3"
"2023/03/08 8:39:00 PM GMT+2","Yes","19","Computer and information sciences","3","3.8"
"2023/03/08 8:39:31 PM GMT+2","Yes","19","Computer and information sciences","5 (strongly matters)","3.99"
"2023/03/08 8:41:39 PM GMT+2","Yes","18","Digital arts and design","4","3.6"
